system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,NDI45,NDVI,NDVIre,NDWI,NDre1,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,VH,VH_VV_ratio,VV,WVP,label,.geo
0,0.035385713,0.047475,0.067933336,0.03272,0.06915,0.085325,0.07314,0.1020375,0.1692,0.19051667,0.12913333,0.19833334,0.26117143,0.0,0.0,0.0,0.0,0.0,0.16496122,0.27682012,0.1172113,-0.2042743,0.24761511,0.0,0.0,0.0,5.0E-4,0.00715,0.0087,0.0075,-16.63391,1.5661718,-10.620744,0.217175,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.0333,0.080557145,0.0211,0.013427778,0.096225,0.11533333,0.099375,0.0915,0.05695,0.06085,0.05315,0.0406,0.02828,0.0,0.0,0.0,0.0,0.0,-0.04125738,-0.3030651,-0.2651227,0.3690771,-0.2327383,0.0,0.0,0.0,6.0E-4,0.009933333,0.0118,0.0104,-29.691002,1.3767463,-21.566067,0.21283333,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.0342,0.0583875,0.024972728,0.013494444,0.08923333,0.10558889,0.08998,0.09026667,0.07225,0.0754,0.0647,0.0602,0.15257142,0.0,0.0,0.0,0.0,0.0,0.0015904235,-0.16343418,-0.16498172,0.24011484,-0.11086042,0.0,0.0,0.0,6.0E-4,0.009,0.0104,0.009475,-27.522959,1.3049179,-21.091717,0.2124,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.03358889,0.076272726,0.017474074,0.0107375,0.09106,0.10746154,0.09215833,0.087725,0.0564,0.055428572,0.048853844,0.045308333,0.0283,0.0,0.0,0.0,0.0,0.0,-0.024645606,-0.3070975,-0.28460598,0.37493238,-0.21734604,0.0,0.0,0.0,6.0E-4,0.00925,0.011042858,0.009433334,-28.48127,1.343139,-21.205004,0.216875,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.033533335,0.076855555,0.01717037,0.010619231,0.09214,0.11155714,0.09575,0.09128334,0.055933334,0.0572,0.04974,0.040275,0.024755556,0.0,0.0,0.0,0.0,0.0,-0.023881627,-0.31624162,-0.2945848,0.38325006,-0.24012227,0.0,0.0,0.0,6.0E-4,0.009466667,0.0112,0.0097,-28.78914,1.3748276,-20.940182,0.21715,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.033572726,0.07385278,0.017235594,0.00955566,0.0901138,0.105175,0.0978575,0.09756857,0.06275402,0.067031816,0.058375,0.050572973,0.046628196,0.0,0.0,0.0,0.0,0.0,-0.0014784418,-0.25271627,-0.25133175,0.28615102,-0.21715312,0.0,0.0,0.0,6.0E-4,0.009446667,0.011035294,0.0103,-28.19187,1.3074661,-21.562218,0.215025,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.033566665,0.06256,0.01727619,0.009908475,0.08430833,0.09511875,0.072663635,0.06859,0.042720832,0.040775,0.0369,0.03542,0.04981905,0.0,0.0,0.0,0.0,0.0,-0.02883915,-0.32641885,-0.30040765,0.4409885,-0.23240477,0.0,0.0,0.0,6.0E-4,0.00855,0.009925,0.00735,-26.954247,1.1958885,-22.539097,0.216925,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.03356,0.0760125,0.017473914,0.0107875,0.09543333,0.1105875,0.09216667,0.08826666,0.05272857,0.056525,0.0498,0.04468,0.025508333,0.0,0.0,0.0,0.0,0.0,-0.021614667,-0.29842687,-0.27860934,0.37900397,-0.25205174,0.0,0.0,0.0,6.0E-4,0.0096,0.0112,0.00946,-28.43806,1.2950435,-21.959156,0.21835,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.03369804,0.07658125,0.01682143,0.011772962,0.091915384,0.11156,0.09358833,0.08525417,0.0495,0.050183333,0.0402375,0.037108332,0.020365218,0.0,0.0,0.0,0.0,0.0,-0.046600554,-0.39865866,-0.35872236,0.46985292,-0.26532885,0.0,0.0,0.0,6.0E-4,0.0096,0.0112,0.009525,-27.923435,1.2824814,-21.772974,0.216925,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.03402,0.0801,0.017427586,0.012609091,0.09170833,0.1112,0.101490304,0.09974445,0.05714,0.061166666,0.04886923,0.044726666,0.02705,0.0,0.0,0.0,0.0,0.0,-0.008675724,-0.3499683,-0.342332,0.3893988,-0.27156577,0.0,0.0,0.0,6.0E-4,0.0094428575,0.0114,0.0103,-28.42791,1.3192248,-21.54895,0.216925,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.03485,0.08092222,0.015501872,0.009572222,0.09526364,0.1114,0.09805852,0.0957,0.05305,0.052763637,0.044873334,0.041158333,0.026977777,0.0,0.0,0.0,0.0,0.0,-0.012172463,-0.3721017,-0.36156693,0.42570707,-0.2867227,0.0,0.0,0.0,6.0E-4,0.00975,0.0113,0.0099,-28.150288,1.2942436,-21.750378,0.216925,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.0354,0.0804875,0.017714286,0.009779311,0.09990769,0.11102,0.09958,0.09535714,0.0569125,0.0564125,0.045022223,0.041525,0.026522728,0.0,0.0,0.0,0.0,0.0,-0.02166265,-0.37729555,-0.3585635,0.42294818,-0.25247738,0.0,0.0,0.0,6.0E-4,0.009975,0.0114,0.0101,-28.16212,1.2868134,-21.885162,0.2155,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.0336,0.07964,0.017390909,0.012307692,0.09244,0.1066,0.09028,0.08523333,0.0448,0.04945,0.040266667,0.0362,0.0185,0.0,0.0,0.0,0.0,0.0,-0.028753746,-0.38310692,-0.35830012,0.45165685,-0.31094593,0.0,0.0,0.0,6.0E-4,0.00942,0.0109,0.0093,-29.319178,1.3138455,-22.315544,0.21283333,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.034224,0.081813514,0.017331373,0.009677143,0.09697234,0.108960085,0.089974195,0.08550861,0.050380953,0.049915,0.043019567,0.03535,0.02741143,0.0,0.0,0.0,0.0,0.0,-0.025447436,-0.35305887,-0.33058155,0.4338773,-0.2585015,0.0,0.0,0.0,6.0E-4,0.0096,0.0112,0.009385,-28.820623,1.3080616,-22.033077,0.217,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.03599091,0.06438125,0.022227272,0.012713636,0.08442941,0.10362222,0.0958,0.09959091,0.06837143,0.06881667,0.06507143,0.056325,0.0894,0.0,0.0,0.0,0.0,0.0,0.019401696,-0.19101323,-0.20963801,0.22852546,-0.18587191,0.0,0.0,0.0,6.0E-4,0.008822222,0.010566667,0.0098,-25.807829,1.2478534,-20.68178,0.2155,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.033575,0.074551724,0.017104445,0.009539796,0.091808334,0.107363634,0.0840625,0.075959094,0.04484762,0.044577777,0.040728573,0.037113044,0.027002778,0.0,0.0,0.0,0.0,0.0,-0.050639465,-0.34725183,-0.30192155,0.44995657,-0.25753102,0.0,0.0,0.0,6.0E-4,0.0093,0.0109,0.0085,-29.250486,1.3552039,-21.583828,0.217,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.0348,0.07554545,0.017517857,0.013295238,0.09180588,0.10792,0.09965,0.096025,0.05688889,0.05633,0.045083333,0.040944446,0.027214285,0.0,0.0,0.0,0.0,0.0,-0.018525645,-0.37701523,-0.36101103,0.41068822,-0.2559356,0.0,0.0,0.0,6.0E-4,0.009433334,0.01105,0.0100125,-27.549044,1.3016392,-21.164885,0.2155,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.0341,0.077,0.018985715,0.012958333,0.09474,0.1105,0.0866,0.0791,0.04845,0.0504,0.044,0.0387,0.02478,0.0,0.0,0.0,0.0,0.0,-0.045262527,-0.32618684,-0.28513402,0.43042073,-0.2402979,0.0,0.0,0.0,6.0E-4,0.00945,0.0113,0.00885,-29.003006,1.4017054,-20.691229,0.21283333,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.033933334,0.07486428,0.017625,0.013493333,0.09005,0.11289231,0.09125555,0.08974706,0.04967647,0.04961667,0.042944446,0.0422,0.026909525,0.0,0.0,0.0,0.0,0.0,-0.008334116,-0.35999334,-0.35271746,0.44885343,-0.28740188,0.0,0.0,0.0,6.0E-4,0.00945,0.0112,0.00946,-28.04911,1.2790046,-21.930422,0.2155,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.03425,0.081315,0.017072223,0.009532203,0.09859643,0.11324516,0.08810715,0.081816666,0.0509,0.05282222,0.04306111,0.03768,0.02704091,0.0,0.0,0.0,0.0,0.0,-0.037019417,-0.34342176,-0.31034788,0.4490162,-0.23295239,0.0,0.0,0.0,6.0E-4,0.00995,0.0115,0.009433334,-27.931503,1.2652028,-22.076702,0.2155,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.034222223,0.060061537,0.017461112,0.009876471,0.072657146,0.088193335,0.056811113,0.05653,0.05635,0.0576,0.0477375,0.0482625,0.066026315,0.0,0.0,0.0,0.0,0.0,-0.0024802487,-0.08678844,-0.08432634,0.2976207,-0.0015946012,0.0,0.0,0.0,6.0E-4,0.00745,0.00885,0.0060285716,-26.940762,1.2694008,-21.223211,0.2016,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.034155555,0.07194167,0.01854737,0.010663793,0.08836,0.10368485,0.08297059,0.08044445,0.05645,0.05662143,0.05272,0.045157142,0.06626429,0.0,0.0,0.0,0.0,0.0,-0.015458441,-0.22293802,-0.20819707,0.32585213,-0.17527701,0.0,0.0,0.0,6.0E-4,0.008855555,0.01046579,0.0084,-28.494656,1.2902269,-22.084995,0.2029075,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.033527274,0.082205266,0.017334616,0.013427272,0.089585,0.10536,0.09068,0.0818,0.050033335,0.050272223,0.0424,0.035205,0.0275,0.0,0.0,0.0,0.0,0.0,-0.051484253,-0.36278933,-0.31723028,0.42609638,-0.24096079,0.0,0.0,0.0,6.0E-4,0.0095,0.01104,0.0092,-28.447763,1.3183969,-21.577541,0.2155,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.0343,0.08175,0.01755,0.009625532,0.09362595,0.10475769,0.08431538,0.07451053,0.043135714,0.0451125,0.03712857,0.0333,0.020223077,0.0,0.0,0.0,0.0,0.0,-0.061733328,-0.38854805,-0.33484647,0.47664317,-0.26668778,0.0,0.0,0.0,6.0E-4,0.009533334,0.011033333,0.0087,-28.825209,1.3122933,-21.965523,0.216925,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.03355,0.04494,0.06368,0.0363,0.08822,0.1031,0.093266666,0.1019,0.14406666,0.1629,0.1281,0.1623,0.22943333,0.0,0.0,0.0,0.0,0.0,0.044235684,0.1573558,0.11391304,-0.10813145,0.17143245,0.0,0.0,0.0,6.0E-4,0.0087,0.010566667,0.00944,-19.309893,1.5509561,-12.450315,0.22375,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.0342875,0.0806,0.0171675,0.009572,0.09585,0.11110435,0.09528182,0.08787222,0.048910525,0.04898077,0.041318517,0.036991667,0.026296297,0.0,0.0,0.0,0.0,0.0,-0.040455535,-0.39504516,-0.3603486,0.45784357,-0.28484365,0.0,0.0,0.0,6.0E-4,0.009946667,0.0114,0.0097,-29.051893,1.3227161,-21.963816,0.217,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.033536363,0.08,0.017168421,0.011540694,0.09494167,0.11186667,0.08597625,0.076733336,0.048341177,0.0449,0.04096,0.035246503,0.027255556,0.0,0.0,0.0,0.0,0.0,-0.056806207,-0.3546367,-0.3039538,0.46396792,-0.22700195,0.0,0.0,0.0,6.0E-4,0.00965,0.01135,0.0088,-28.94087,1.2758398,-22.68378,0.216925,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.03359375,0.07464211,0.013625806,0.009373913,0.09745909,0.11315862,0.10381818,0.09795455,0.05872,0.05654,0.04794,0.040666666,0.0200625,0.0,0.0,0.0,0.0,0.0,-0.029060565,-0.36820537,-0.342813,0.40483662,-0.2504207,0.0,0.0,0.0,6.0E-4,0.0097,0.0115,0.010522222,-27.623121,1.2405369,-22.267069,0.2155,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.0339,0.0773875,0.01686111,0.012694118,0.09267143,0.110457145,0.09116667,0.084063634,0.048077777,0.044675,0.04111,0.033716667,0.02436,0.0,0.0,0.0,0.0,0.0,-0.040535416,-0.378424,-0.3431524,0.45753413,-0.27232838,0.0,0.0,0.0,6.0E-4,0.009457143,0.0113,0.0093,-27.574223,1.2786622,-21.5649,0.2155,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
