plot_id,eventID,occurrenceID,scientificName,species,family,genus,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,eventDate,locality,samplingProtocol
K5,ncf:ceros:atr_ktr:trees:K5,ncf:ceros:atr_ktr:trees:K5:29,Lepisanthes tetraphylla (Vahl) Radlk.,Lepisanthes tetraphylla,Sapindaceae,Lepisanthes,14.98514,74.37265,100.0,2025-11-23,Anshi_Anshi_Anshi,50 by 10m vegetation plots and a 5 by 10m regeneration plot within
K24,ncf:ceros:atr_ktr:trees:K24,ncf:ceros:atr_ktr:trees:K24:46,Syzygium hemisphericum (Walp.) Alston,Syzygium hemisphericum,Myrtaceae,Syzygium,14.97144,74.31979,100.0,2025-11-29,Kadra_Bargadde_Sanake,50 by 10m vegetation plots and a 5 by 10m regeneration plot within
K32,ncf:ceros:atr_ktr:trees:K32,ncf:ceros:atr_ktr:trees:K32:57,Symplocos racemosa Roxb.,Symplocos racemosa,Symplocaceae,Symplocos,15.34117,74.37326,100.0,2025-12-02,Castlerock_Castlerock_Populwadi,50 by 10m vegetation plots and a 5 by 10m regeneration plot within
K29,ncf:ceros:atr_ktr:trees:K29,ncf:ceros:atr_ktr:trees:K29:48,Psydrax dicoccos Gaertn.,Psydrax dicoccos,Rubiaceae,Psydrax,15.4885,74.34842,100.0,2025-12-01,Castlerock_Anmod_Rangarook,50 by 10m vegetation plots and a 5 by 10m regeneration plot within
K27,ncf:ceros:atr_ktr:trees:K27,ncf:ceros:atr_ktr:trees:K27:39,Nothopegia castaneifolia (Roth) Ding Hou,Nothopegia castaneifolia,Anacardiaceae,Nothopegia,14.92656,74.35452,100.0,2025-11-29,Kadra_Kadra_Kadra-West,50 by 10m vegetation plots and a 5 by 10m regeneration plot within
K3,ncf:ceros:atr_ktr:trees:K3,ncf:ceros:atr_ktr:trees:K3:9,Beilschmiedia dalzellii (Meisn.) Kosterm.,Beilschmiedia dalzellii,Lauraceae,Beilschmiedia,15.02369,74.45427,100.0,2025-11-23,Anshi_Sawanth Matkarni_Sawanth Matkarni,50 by 10m vegetation plots and a 5 by 10m regeneration plot within
K38,ncf:ceros:atr_ktr:trees:K38,ncf:ceros:atr_ktr:trees:K38:33,Sterculia guttata Roxb.,Sterculia guttata,Malvaceae,Sterculia,15.16349,74.62148,100.0,2025-12-04,Kulgi_Kulgi_Kulgi-South,50 by 10m vegetation plots and a 5 by 10m regeneration plot within
K4,ncf:ceros:atr_ktr:trees:K4,ncf:ceros:atr_ktr:trees:K4:26,Ixora brachiata Roxb.,Ixora brachiata,Rubiaceae,Ixora,15.02334,74.4273,100.0,2025-11-23,Anshi_Sawanth Matkarni_Sawanth Matkarni,50 by 10m vegetation plots and a 5 by 10m regeneration plot within
K8,ncf:ceros:atr_ktr:trees:K8,ncf:ceros:atr_ktr:trees:K8:2,Aglaia elaeagnoidea (A.Juss.) Benth.,Aglaia elaeagnoidea,Meliaceae,Aglaia,15.04524,74.33066,100.0,2025-11-24,Anshi_Nujji_Nujji,50 by 10m vegetation plots and a 5 by 10m regeneration plot within
K49,ncf:ceros:atr_ktr:trees:K49,ncf:ceros:atr_ktr:trees:K49:44,Psydrax dicoccos Gaertn.,Psydrax dicoccos,Rubiaceae,Psydrax,15.0245,74.4809,100.0,2025-12-06,Gund_Marda_Shimpura Gudda,50 by 10m vegetation plots and a 5 by 10m regeneration plot within
